Part Number=ABC123
Lot ID=90123
Test Level=X
Mask=1234
Test Station=77
Operator=MRM
Start Date=22 Feb 2018
Start Time=18:17:56
Handler=077
Vendor=N/A
Fixture=5149
Numpar=28
Numdev=20
Environ=Fixture
Date Code=
WorkOrder=
Sernum Mode=0
Parm Name,ID1,ID2,17ABC,19ABC,21ABC,23ABC,24ABC,26ABC,17XYZ,19XYZ,21XYZ,23XYZ,24XYZ,26XYZ,ID1a,ID2a,17IP3G,19IP3G,21IP3G,23IP3G,24IP3G,26IP3G,17IP3L,19IP3L,21IP3L,23IP3L,24IP3L,26IP3L
Min Spec,385,100,10,10,10,10,10,10,0,0,0,0,0,0,10,100,-99,-99,-99,-99,-99,-99,14,14,14,14,14,14
Max Spec,395,300,22,22,22,22,22,22,50,50,50,50,50,50,20,300,-18,-18,-18,-18,-18,-18,30,30,30,30,30,30
Units,mA,mA,dB,dB,dB,dB,dB,dB,dBc,dBc,dBc,dBc,dBc,dBc,mA,mA,dB,dB,dB,dB,dB,dB,dBm,dBm,dBm,dBm,dBm,dBm
Offset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

000010000000001,+3.870316E+02,+2.215090E+02,+1.248693E+01,+1.297430E+01,+1.283885E+01,+1.083291E+01,+1.054648E+01,+1.106443E+01,+2.018900E+01,+1.548000E+01,+8.381001E+00,+1.045400E+01,+1.115000E+01,+1.558800E+01,+1.447285E+01,+2.212772E+02,-2.329217E+01,-2.367266E+01,-2.248981E+01,-2.382453E+01,-2.333111E+01,-2.159364E+01,+2.141650E+01,+1.828550E+01,+1.573350E+01,+1.455500E+01,+1.422850E+01,+1.305750E+01
000020000000001,+3.880651E+02,+2.214228E+02,+1.259597E+01,+1.304730E+01,+1.292242E+01,+1.086885E+01,+1.058758E+01,+1.109801E+01,+2.017500E+01,+1.548500E+01,+8.418000E+00,+1.044700E+01,+1.113800E+01,+1.570900E+01,+1.460500E+01,+2.213130E+02,-2.322267E+01,-2.360112E+01,-2.243845E+01,-2.377113E+01,-2.324255E+01,-2.155915E+01,+2.046450E+01,+1.766100E+01,+1.545050E+01,+1.446750E+01,+1.461100E+01,+1.289300E+01
000030000000001,+3.879676E+02,+2.214688E+02,+1.257384E+01,+1.302730E+01,+1.287489E+01,+1.086094E+01,+1.057035E+01,+1.108049E+01,+2.031400E+01,+1.552000E+01,+8.439000E+00,+1.050800E+01,+1.115400E+01,+1.564600E+01,+1.463566E+01,+2.213833E+02,-2.323516E+01,-2.356708E+01,-2.238747E+01,-2.371244E+01,-2.320152E+01,-2.149264E+01,+2.083900E+01,+1.809100E+01,+1.577800E+01,+1.420300E+01,+1.462000E+01,+1.277550E+01
000040000000001,+3.881172E+02,+2.214954E+02,+1.256786E+01,+1.303832E+01,+1.286281E+01,+1.084909E+01,+1.055899E+01,+1.109290E+01,+2.029300E+01,+1.553900E+01,+8.463000E+00,+1.049400E+01,+1.108900E+01,+1.531200E+01,+1.459999E+01,+2.214291E+02,-2.319204E+01,-2.356068E+01,-2.235096E+01,-2.366345E+01,-2.314618E+01,-2.146363E+01,+2.014800E+01,+1.867750E+01,+1.616800E+01,+1.407800E+01,+1.438800E+01,+1.313800E+01
000050000000001,+3.884425E+02,+2.214904E+02,+1.255549E+01,+1.304130E+01,+1.287232E+01,+1.085170E+01,+1.055849E+01,+1.106889E+01,+2.026700E+01,+1.552300E+01,+8.464000E+00,+1.050200E+01,+1.110400E+01,+1.503100E+01,+1.468138E+01,+2.214029E+02,-2.319214E+01,-2.354066E+01,-2.235383E+01,-2.365958E+01,-2.315287E+01,-2.147458E+01,+2.158400E+01,+1.774100E+01,+1.580150E+01,+1.457900E+01,+1.432300E+01,+1.311350E+01
000060000000001,+3.883157E+02,+2.215559E+02,+1.256083E+01,+1.301330E+01,+1.285686E+01,+1.082611E+01,+1.055335E+01,+1.107665E+01,+2.024600E+01,+1.554800E+01,+8.460999E+00,+1.048500E+01,+1.109800E+01,+1.504200E+01,+1.467117E+01,+2.213770E+02,-2.318415E+01,-2.353337E+01,-2.236106E+01,-2.370246E+01,-2.316111E+01,-2.144843E+01,+2.031100E+01,+1.776150E+01,+1.572900E+01,+1.407850E+01,+1.382850E+01,+1.308150E+01
000070000000000,+3.884104E+02,+2.215662E+02,+1.255934E+01,+1.300087E+01,+1.287537E+01,+1.083945E+01,+1.053980E+01,+1.108567E+01,+2.021200E+01,+1.552400E+01,+8.500000E+00,+1.047200E+01,+1.113500E+01,+1.507800E+01,+1.474234E+01,+2.214800E+02,-2.318659E+01,-2.352970E+01,-2.238055E+01,-2.369400E+01,-2.314308E+01,-2.140904E+01,+2.095500E+01,+1.832300E+01,+1.610150E+01,+1.435950E+01,+1.404400E+01,+1.269650E+01
000080000000001,+3.884358E+02,+2.215403E+02,+1.256084E+01,+1.302031E+01,+1.287635E+01,+1.082343E+01,+1.054681E+01,+1.108228E+01,+2.012000E+01,+1.553000E+01,+8.476999E+00,+1.047300E+01,+1.113300E+01,+1.501300E+01,+1.476776E+01,+2.214181E+02,-2.315495E+01,-2.351350E+01,-2.237534E+01,-2.366675E+01,-2.312912E+01,-2.140500E+01,+2.089050E+01,+1.787250E+01,+1.593950E+01,+1.456500E+01,+1.424000E+01,+1.315550E+01
000090000000001,+3.886408E+02,+2.215655E+02,+1.255336E+01,+1.300489E+01,+1.285200E+01,+1.082705E+01,+1.054530E+01,+1.105549E+01,+2.012900E+01,+1.550900E+01,+8.434000E+00,+1.047900E+01,+1.112600E+01,+1.502600E+01,+1.479822E+01,+2.214386E+02,-2.315410E+01,-2.350509E+01,-2.234863E+01,-2.366030E+01,-2.313019E+01,-2.140497E+01,+2.035050E+01,+1.887350E+01,+1.586450E+01,+1.429150E+01,+1.449100E+01,+1.285450E+01
000100000000001,+3.886865E+02,+2.215561E+02,+1.254537E+01,+1.300336E+01,+1.284680E+01,+1.080910E+01,+1.052731E+01,+1.104700E+01,+2.002300E+01,+1.552700E+01,+8.500000E+00,+1.047600E+01,+1.110500E+01,+1.509500E+01,+1.477797E+01,+2.214534E+02,-2.317268E+01,-2.350017E+01,-2.234547E+01,-2.363344E+01,-2.310717E+01,-2.138215E+01,+2.104550E+01,+1.786450E+01,+1.590400E+01,+1.448550E+01,+1.416700E+01,+1.298650E+01
000110000000001,+3.886030E+02,+2.215708E+02,+1.251635E+01,+1.297735E+01,+1.284487E+01,+1.078982E+01,+1.054185E+01,+1.105005E+01,+1.999600E+01,+1.551800E+01,+8.480000E+00,+1.045900E+01,+1.111300E+01,+1.511500E+01,+1.479817E+01,+2.214596E+02,-2.316852E+01,-2.350263E+01,-2.234676E+01,-2.363657E+01,-2.311114E+01,-2.138892E+01,+2.055250E+01,+1.851850E+01,+1.525050E+01,+1.422150E+01,+1.406200E+01,+1.313300E+01
000120000000001,+3.886243E+02,+2.215769E+02,+1.253336E+01,+1.297580E+01,+1.284031E+01,+1.080744E+01,+1.053135E+01,+1.105852E+01,+1.995200E+01,+1.548100E+01,+8.499000E+00,+1.044600E+01,+1.109600E+01,+1.518700E+01,+1.482886E+01,+2.214751E+02,-2.314006E+01,-2.351475E+01,-2.234533E+01,-2.366413E+01,-2.308955E+01,-2.138603E+01,+2.053150E+01,+1.862800E+01,+1.613750E+01,+1.468000E+01,+1.438350E+01,+1.293400E+01
000130000000001,+3.887787E+02,+2.215960E+02,+1.252783E+01,+1.298888E+01,+1.285230E+01,+1.079507E+01,+1.052135E+01,+1.105262E+01,+1.989200E+01,+1.552500E+01,+8.531000E+00,+1.049100E+01,+1.106600E+01,+1.511000E+01,+1.482370E+01,+2.214393E+02,-2.312791E+01,-2.349207E+01,-2.231351E+01,-2.365600E+01,-2.308347E+01,-2.137198E+01,+2.178650E+01,+1.888000E+01,+1.586000E+01,+1.398650E+01,+1.414050E+01,+1.309500E+01
000140000000001,+3.886910E+02,+2.215822E+02,+1.252880E+01,+1.299282E+01,+1.283033E+01,+1.078945E+01,+1.054280E+01,+1.103279E+01,+1.985800E+01,+1.553200E+01,+8.510000E+00,+1.043600E+01,+1.114500E+01,+1.525400E+01,+1.486448E+01,+2.215427E+02,-2.315406E+01,-2.348595E+01,-2.232147E+01,-2.363358E+01,-2.309070E+01,-2.137863E+01,+2.187900E+01,+1.936850E+01,+1.582900E+01,+1.431950E+01,+1.407100E+01,+1.297750E+01
000150000000001,+3.888336E+02,+2.215969E+02,+1.253530E+01,+1.297341E+01,+1.284188E+01,+1.075654E+01,+1.050080E+01,+1.107319E+01,+1.984900E+01,+1.552700E+01,+8.512000E+00,+1.047700E+01,+1.107300E+01,+1.511000E+01,+1.484909E+01,+2.215582E+02,-2.309812E+01,-2.348193E+01,-2.233148E+01,-2.364802E+01,-2.308509E+01,-2.137104E+01,+2.012200E+01,+1.822900E+01,+1.568600E+01,+1.452450E+01,+1.455700E+01,+1.307350E+01
000160000000001,+3.889807E+02,+2.216448E+02,+1.251932E+01,+1.297533E+01,+1.283631E+01,+1.077861E+01,+1.049932E+01,+1.104995E+01,+1.975000E+01,+1.549200E+01,+8.528999E+00,+1.045200E+01,+1.104100E+01,+1.524700E+01,+1.486946E+01,+2.215262E+02,-2.309956E+01,-2.343778E+01,-2.228002E+01,-2.367004E+01,-2.309869E+01,-2.143215E+01,+2.062200E+01,+1.789900E+01,+1.526000E+01,+1.432700E+01,+1.425500E+01,+1.303150E+01
000170000000001,+3.889105E+02,+2.216943E+02,+1.253282E+01,+1.298938E+01,+1.283081E+01,+1.077901E+01,+1.052286E+01,+1.101304E+01,+1.973800E+01,+1.554000E+01,+8.536000E+00,+1.046700E+01,+1.109900E+01,+1.523200E+01,+1.487968E+01,+2.215161E+02,-2.309911E+01,-2.344291E+01,-2.225280E+01,-2.367288E+01,-2.310162E+01,-2.140334E+01,+2.202050E+01,+1.753950E+01,+1.557550E+01,+1.451800E+01,+1.406250E+01,+1.309150E+01
000180000000001,+3.889388E+02,+2.216334E+02,+1.251785E+01,+1.295291E+01,+1.283145E+01,+1.075454E+01,+1.049031E+01,+1.103912E+01,+1.967800E+01,+1.551000E+01,+8.489000E+00,+1.044500E+01,+1.107200E+01,+1.523900E+01,+1.487449E+01,+2.214914E+02,-2.307762E+01,-2.343364E+01,-2.226702E+01,-2.365702E+01,-2.308866E+01,-2.141964E+01,+2.085000E+01,+1.748150E+01,+1.573400E+01,+1.394850E+01,+1.399100E+01,+1.321100E+01
000190000000001,+3.889817E+02,+2.215867E+02,+1.250933E+01,+1.296230E+01,+1.284180E+01,+1.076517E+01,+1.052080E+01,+1.101619E+01,+1.968500E+01,+1.547200E+01,+8.573000E+00,+1.046800E+01,+1.113000E+01,+1.519200E+01,+1.495593E+01,+2.215362E+02,-2.307665E+01,-2.343890E+01,-2.228001E+01,-2.361593E+01,-2.302820E+01,-2.135368E+01,+1.960200E+01,+1.830800E+01,+1.589200E+01,+1.439050E+01,+1.447000E+01,+1.311050E+01
000200000000001,+3.889953E+02,+2.216383E+02,+1.253086E+01,+1.298191E+01,+1.284734E+01,+1.077007E+01,+1.051784E+01,+1.104412E+01,+1.966800E+01,+1.551100E+01,+8.517000E+00,+1.045400E+01,+1.108700E+01,+1.523900E+01,+1.488475E+01,+2.215166E+02,-2.305345E+01,-2.341692E+01,-2.222865E+01,-2.364133E+01,-2.304869E+01,-2.142155E+01,+2.078450E+01,+1.776900E+01,+1.574950E+01,+1.461600E+01,+1.450150E+01,+1.280150E+01
